id;day;month;year;timeofday;timeofdayrecode;incident_type;incident_action;latitude;longitude;territorial_water_status;closest_coastal_state;closest_state_cow_code;location_precision;geolocation_source;location_description;vessel_name;vessel_type;vessel_country;Vessel_country_cow_code;vessel_status;Violence Dummy;Steaming Recode;Incident_type_recode;Incident_action_recode
666;23;7;1997;;-99;Actual;Boarding;5,2931667;-4,0000;Cote d'Ivoire;Cote d'Ivoire;437;2;IMB;Abidjan, Ivory Coast;Kimolos;8;Greece;350;Anchored;1;2;1;2
668;26;7;1997;;-99;Actual;Boarding;22,2166667;91,7932;Bangladesh;Bangladesh;771;4;IMB;Chittagong, Bangladesh;North Sea;10;Bahamas;31;Unspecified;0;-99;1;2
667;26;7;1997;;-99;Actual;Boarding;22,2166667;91,7932;Bangladesh;Bangladesh;771;2;IMB;Chittagong, Bangladesh;Star Bird;6;Denmark;390;Anchored;0;2;1;2
669;29;7;1997;;-99;Actual;Boarding;-5,4666667;105,1667;Indonesia;Indonesia;850;2;IMB;Tarahan, Panjang, Indonesia;Aditya Usha;2;India;750;Anchored;0;2;1;2
671;;7;1997;;-99;Actual;Hijacked;9,666666667;80,0167;Sri Lanka;Sri Lanka;780;4;IMB;Jaffna, Sri Lanka;Morang Bong;6;North Korea;731;Steaming;1;1;1;1
670;;7;1997;;-99;Attempted;;6,5527;81,6353;Sri Lanka;Sri Lanka;780;4;IMB;Sri Lanka;Missen;-99;;;Unspecified;1;-99;0;-99
674;8;8;1997;4:50;4;Actual;Boarding;-2,2666667;-79,9000;Ecuador;Ecuador;130;4;IMB;Off Alpha berth container termina, Guayaquil, Ecuador;Lircay;4;Liberia;450;Steaming;0;1;1;2
673;8;8;1997;;-99;Actual;Boarding;13,0666667;100,8667;Thailand;Thailand;800;2;IMB;Laem Chabang, Thailand;Alam Tangkas;6;Malaysia;820;Anchored;0;2;1;2
672;8;8;1997;;-99;Actual;Boarding;-8,6044;158,9257;Solomon Is.;Solomon Is.;940;4;IMB;South Pacific, Solomon Islands;Pacani III;9;Spain;230;Anchored;0;2;1;2
675;9;8;1997;;-99;Actual;Boarding;22,8196667;70,2203;India;India;750;4;IMB;Kandla, India;Normar Splendour;8;Liberia;450;Unspecified;0;-99;1;2
676;10;8;1997;;-99;Actual;Boarding;13,3516667;100,6067;Thailand;Thailand;800;4;IMB;Bangkok, Thailand;Oriental Bright;4;Panama;95;Unspecified;0;-99;1;2
677;14;8;1997;;-99;Actual;Boarding;-5,4666667;105,1667;Indonesia;Indonesia;850;2;IMB;Panjang anchorage, Indonesia;Esperanza Ace;6;Panama;95;Anchored;1;2;1;2
678;15;8;1997;;-99;Actual;Boarding;-2,2666667;-79,9000;Ecuador;Ecuador;130;2;IMB;Guayaquil, Ecuador;Illapel;-99;;;Anchored;0;2;1;2
679;17;8;1997;;-99;Actual;Boarding;35,9375;14,3754;Malta;Malta;338;4;IMB;Malta;Seagull;-99;;;Unspecified;0;-99;1;2
680;20;8;1997;;-99;Actual;Boarding;13,0666667;100,8667;Thailand;Thailand;800;4;IMB;Laem Chabang, Thailand;Aro;2;Malta;338;Unspecified;0;-99;1;2
681;21;8;1997;;-99;Actual;Boarding;-23,9761667;-46,2872;Brazil;Brazil;140;2;IMB;Santos, Brazil;Tia Angelica;6;Panama;95;Anchored;1;2;1;2
682;22;8;1997;;-99;Attempted;;-3,2666667;-80,0000;Ecuador;Ecuador;130;2;IMB;Port Bolivar, Ecuador;Hectoras;10;Bahamas;31;Anchored;0;2;0;-99
684;23;8;1997;;-99;Actual;Boarding;4,0431667;9,6667;Cameroon;Cameroon;471;2;IMB;Douala, Cameroon;CBMT Express;6;Bahamas;31;Anchored;0;2;1;2
